name,density,mol_wt,bi,ch3_wt%,ch2_wt%,ch_wt%,olef_wt%,naph_wt%,aroma_wt%,oh_wt%
"1,2,4-Trimethylbenzene",0.8761,120,1.5,0.375,0,0,0,0,0.625,0
"1,3-Dimethylbenzene",0.86434,106,1,0.283,0,0,0,0,0.717,0
"1,4-Dimethylbenzene",0.8612,106,1,0.283,0,0,0,0,0.717,0
1-Butene,0.62552,56,0,0.268,0.25,0,0.482,0,0,0
1-Hexene,0.673,84,0,0.179,0.5,0,0.321,0,0,0
2-Methylhexane,0.679,100,0.167,0.45,0.42,0.13,0,0,0,0
Benzene,0.879,78,1,0,0,0,0,0,1,0
Butylcyclohexane,0.80344,140,0.5,0.107,0.3,0,0,0.593,0,0
Cyclohexane,0.77881,84,0.5,0,0,0,0,1,0,0
Cyclopentane,0.74542,70,0.5,0,0,0,0,1,0,0
Cyclopropane,0.678,42,0.5,0,0,0,0,1,0,0
Ethane,0.5464,30,0,1,0,0,0,0,0,0
Ethanol,0.789,46,0,0.326,0.304,0,0,0,0,0.37
Ethylbenzene,0.86703,106,1,0.142,0.132,0,0,0,0.726,0
iso-Butane,0.63,58,0.33,0.776,0,0.224,0,0,0,0
iso-Butene,0.603,56,0.33,0.536,0,0,0.464,0,0,0
iso-Hexane,0.65331,86,0.2,0.523,0.326,0.151,0,0,0,0
iso-Octane,0.69214,114,0.6,0.658,0.123,0.114,0,0,0,0
iso-Pentane,0.62021,72,0.25,0.625,0.195,0.18,0,0,0,0
Methane,0.421,14,0,1,0,0,0,0,0,0
Methylcyclohexane,0.76957,98,0.5,0.153,0,0,0,0.847,0,0
n-Butane,0.6014,58,0,0.517,0.483,0,0,0,0,0
n-Decane,0.73052,142,0,0.211,0.789,0,0,0,0,0
N-Dodecane,0.74954,170,0,0.176,0.824,0,0,0,0,0
n-Heptane,0.68394,100,0,0.3,0.7,0,0,0,0,0
n-Hexane,0.6595,86,0,0.349,0.651,0,0,0,0,0
n-Nonane,0.71814,128,0,0.234,0.766,0,0,0,0,0
n-Octane,0.70241,114,0,0.263,0.737,0,0,0,0,0
n-Pentane,0.6259,72,0,0.417,0.583,0,0,0,0,0
n-Propane,0.493,44,0,0.682,0.318,0,0,0,0,0
Propylcyclohexane,0.79397,160,0.5,0.119,0.222,0,0,0.659,0,0
Toluene,0.86703,92,1,0.163,0,0,0,0,0.837,0
methanol,0.792,32,0,0.46875,0,0,0,0,0,0.53125
n-propanol,0.803,60,0,0.25,0.4666,0,0,0,0,0.2833
n-butanol,0.81,74,0,0.2027,0.5675,0,0,0,0,0.2297
2-methylbutan-1-ol,0.815,88,0.3,0.3409,0.3181,0.1477,0,0,0,0.19318
Diethylether,0.713,74,0,0.4054,0.3783,0,0,0,0,0
tetralin,0.97,132,1.5,0,0,0,0,0.4242,0.5757,0
