Name,n-N,C_1,n-P,C_6,iso-P,C_2,C_5,C_4,C_3,FACE A gasoline,FACE C gasoline,FACE F gasoline,FACE G gasoline,FACE I gasoline,FACE J gasoline,C_7,RON,MON
PRF+10,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,55.6,53
PRF+20,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,69,64
PRF+30,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,80.7,76
PRF+40,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,90.5,83.6
PRF+50,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,97.9,87.5
PRF+60,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,102.5,89
PRF+70,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,104.8,89.8
PRF+80,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,105.3,90.2
PRF+90,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,108.5,91
TPRF 1+0,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,60.8,58
TPRF 1+10,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,71.9,68
TPRF 1+20,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,82.5,77.7
TPRF 1+40,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,97.8,87.8
TPRF 1+60,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,105.2,88.5
TPRF 2+0,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,59.5,55.5
TPRF 2+10,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,70.3,65
TPRF 2+20,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,81,75.8
TPRF 2+40,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,96.8,86.6
TPRF 2+60,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,104.4,89.7
