Name,n-N,C_1,n-P,C_6,iso-P,C_2,C_5,C_4,C_3,FACE A gasoline,FACE C gasoline,FACE F gasoline,FACE G gasoline,FACE I gasoline,FACE J gasoline,C_7,RON,MON
TPRF 19,,n-Heptane,,,,,,,Toluene,,,,,,,,93.4,81.5
TPRF 20,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,96.9,85.2
TPRF 21,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,99.8,88.7
TPRF 22,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,66,64.4
TPRF 23,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,84.5,82
TPRF 24,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,73.6,70
TPRF 25,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,89.1,85.6
TPRF 26,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,53.2,48
TPRF 27,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,66.1,61
TPRF28,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,79,74
TPRF 29,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,92.8,86.9
TPRF 30,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,63.7,58
TPRF 31,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,75.1,68
TPRF 32,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,86.2,79.6
TPRF 33,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,96.7,88.7
TPRF 34,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,75.5,68
TPRF 35,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,83.8,76.2
TPRF 36,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,92.1,82.9
TPRF 37,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,99.8,90.9
TPRF 38,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,85.3,75.2
TPRF 39,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,95,83.7
TPRF 40,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,71.2,69
TPRF 41,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,68.4,63.7
TPRF 42,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,90.5,88
TPRF 43,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,89.5,84.7
MC 1,,n-Heptane,,1-Hexene,,iso-Octane,,,,,,,,,,,74.6,72
MC 2,,n-Heptane,,1-Hexene,,iso-Octane,,,Toluene,,,,,,,,72,68
MC 3,,n-Heptane,,1-Hexene,,iso-Octane,,,Toluene,,,,,,,,72,67.2
MC 4,,n-Heptane,,1-Hexene,,iso-Octane,,,,,,,,,,,92.9,90.2
MC 5,,n-Heptane,,1-Hexene,,iso-Octane,,,,,,,,,,,93,88.5
MC 6,,n-Heptane,,1-Hexene,,iso-Octane,,,Toluene,,,,,,,,91.2,86.8
MC 7,,n-Heptane,,,,iso-Octane,,"1,2,4-Trimethylbenzene",,,,,,,,,77.8,74.6
MC 8,,n-Heptane,,1-Hexene,,iso-Octane,,,Toluene,,,,,,,,91.7,85.2
MC 9,,n-Heptane,,,,iso-Octane,,"1,2,4-Trimethylbenzene",,,,,,,,,83,77.7
MC 10,,n-Heptane,,1-Hexene,,iso-Octane,,,Toluene,,,,,,,,91.4,84.9
MC 11,,n-Heptane,,,,iso-Octane,,"1,2,4-Trimethylbenzene",Toluene,,,,,,,,73.5,71.8
MC 12,,n-Heptane,,1-Hexene,,iso-Octane,,,Toluene,,,,,,,,90.9,82.7
