Name,n-N,C_1,n-P,C_6,iso-P,C_2,C_5,C_4,C_3,FACE A gasoline,FACE C gasoline,FACE F gasoline,FACE G gasoline,FACE I gasoline,FACE J gasoline,C_7,RON,MON
TPRF 53,,n-Heptane,,,,,,,Toluene,,,,,,,,98.6,88.5
PRF-50+10,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,64.5,61
PRF-50+20,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,76.7,73
PRF-50+30,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,86.7,81
PRF-50+40,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,94.9,86.7
PRF-50+50,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,100.7,88.8
PRF-50+60,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,104,90.2
PRF-50+70,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,105.6,91.5
PRF-50+80,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,107,90.4
PRF-50+90,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,108,90.4
PRF-60+10,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,72.8,70
PRF-60+20,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,83.4,79.3
PRF-60+30,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,91.9,86
PRF-60+40,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,98.8,89.1
PRF-60+50,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,103,90.4
PRF-60+60,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,105,91.2
PRF-60+70,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,107,91
PRF-60+80,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,108,91
PRF-60+90,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,109,91.6
PRF91,,n-Heptane,,,,iso-Octane,,,,,,,,,,,91,91
PRF91-E10,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,98.7,94.3
PRF91-E20,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,103.8,95.3
PRF91-E40,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,108,94.5
PRF91-E60,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,108.4,93.4
PRF91-E80,,n-Heptane,,,,iso-Octane,,,,,,,,,,Ethanol,108.4,92.2
TRF91-15,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,91,88.4
TRF91-15-E10,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,97.8,91.7
TRF91-15-E20,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,102.6,93.2
TRF91-15-E40,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,107.1,93.6
TRF91-15-E60,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,107.7,92.6
TRF91-15-E80,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,107.8,91.7
TRF91-30,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,91.3,86.1
TRF91-30-E10,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,97,89.4
TRF91-30-E20,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,101.4,91.1
TRF91-30-E40,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,106,92.1
TRF91-30-E60,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,107.1,92
TRF91-30-E80,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,107.5,91.4
TRF91-45,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,,91.1,83.5
TRF91-45-E10,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,96,87.2
TRF91-45-E20,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,100.2,89.1
TRF91-45-E40,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,104.6,90.9
TRF91-45-E60,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,106.3,91.2
TRF91-45-E80,,n-Heptane,,,,iso-Octane,,,Toluene,,,,,,,Ethanol,107.1,91.1
PRF0-E40,,n-Heptane,,,,,,,,,,,,,,Ethanol,69.7,64.5
PRF0-E60,,n-Heptane,,,,,,,,,,,,,,Ethanol,94.7,83.8
PRF0-E80,,n-Heptane,,,,,,,,,,,,,,Ethanol,104.7,88.9
PRF100-E10,,,,,,iso-Octane,,,,,,,,,,Ethanol,106.8,99.9
PRF100-E20,,,,,,iso-Octane,,,,,,,,,,Ethanol,109.4,99.1
PRF100-E40,,,,,,iso-Octane,,,,,,,,,,Ethanol,110.2,95.9
PRF100-E60,,,,,,iso-Octane,,,,,,,,,,Ethanol,109.6,94.2
PRF100-E80,,,,,,iso-Octane,,,,,,,,,,Ethanol,109,92.6
