Name,n-Heptane,Toluene,iso-Octane,1-Hexene,"1,2,4-Trimethylbenzene",Cyclopentane,FACE A gasoline,Ethanol,FACE C gasoline,FACE F gasoline,FACE G gasoline,FACE I gasoline,FACE J gasoline,Predicted RON,Predicted MON
TPRF 19,27.0,73.0,,,,,,,,,,,,91.59,81.39
TPRF 20,14.19370012296801,2.0624564508388232,83.74384342619317,,,,,,,,,,,90.88,85.21
TPRF 21,10.149159796486446,2.714000243858324,87.13683995965523,,,,,,,,,,,94.18,88.93
TPRF 22,36.0,3.0,61.0,,,,,,,,,,,66.08,63.73
TPRF 23,19.5,3.5,77.0,,,,,,,,,,,84.87,79.52
TPRF 24,29.0,3.0,68.0,,,,,,,,,,,73.82,69.77
TPRF 25,16.0,1.0,83.0,,,,,,,,,,,89.72,85.28
TPRF 26,58.125,11.0,30.875,,,,,,,,,,,47.19,48.0
TPRF 27,39.52561569213867,4.062549591064453,56.411834716796875,,,,,,,,,,,62.93,61.09
TPRF28,25.0,5.0,70.0,,,,,,,,,,,77.76,74.43
TPRF 29,12.0,5.0,83.0,,,,,,,,,,,91.39,87.27
TPRF 30,43.59995174407959,5.236593246459961,51.16345500946045,,,,,,,,,,,59.22,58.0
TPRF 31,30.0,1.0,69.0,,,,,,,,,,,72.55,68.27
TPRF 32,20.0,1.0,79.0,,,,,,,,,,,86.08,80.49
TPRF 33,9.7263578886168,2.5011235995974235,87.77251851178578,,,,,,,,,,,94.66,89.38
TPRF 34,32.0,5.0,63.0,,,,,,,,,,,70.1,67.99
TPRF 35,22.0,3.0,75.0,,,,,,,,,,,82.23,76.41
TPRF 36,16.10890324487503,2.6298108359160954,81.26128591920887,,,,,,,,,,,88.89,82.9
TPRF 37,7.38207180876444,2.511835526088993,90.10609266514656,,,,,,,,,,,96.35,90.93
TPRF 38,22.969369550111878,2.6168963214440737,74.41373412844405,,,,,,,,,,,81.28,75.2
TPRF 39,16.023603011047328,1.6808978593314308,82.29549912962125,,,,,,,,,,,89.38,83.73
TPRF 40,31.0,5.0,64.0,,,,,,,,,,,71.13,68.87
TPRF 41,36.875,4.875,58.25,,,,,,,,,,,65.38,63.57
TPRF 42,13.263017847534424,4.493904747827771,82.2430774046378,,,,,,,,,,,90.51,86.01
TPRF 43,16.0,2.0,82.0,,,,,,,,,,,89.26,83.47
MC 1,10.403769153494602,,29.110080824870636,60.48615002163476,,,,,,,,,,74.59,68.99
MC 2,17.0,6.0,27.0,50.0,,,,,,,,,,71.41,68.35
MC 3,17.0,6.0,26.0,51.0,,,,,,,,,,71.18,68.07
MC 4,2.0,,81.0,17.0,,,,,,,,,,92.94,88.59
MC 5,0.0,,80.0,20.0,,,,,,,,,,93.0,88.03
MC 6,0.0,4.0,72.0,24.0,,,,,,,,,,91.34,86.5
MC 7,27.0,,63.0,,10.0,,,,,,,,,77.35,75.23
MC 8,2.0,18.0,56.0,24.0,,,,,,,,,,90.73,85.24
MC 9,23.0,,70.0,,7.0,,,,,,,,,81.02,77.32
MC 10,2.0,20.0,53.0,25.0,,,,,,,,,,90.7,84.74
MC 11,35.4595489104338,3.835399244445675,43.45946924887121,,17.245582596249314,,,,,,,,,73.75,69.89
MC 12,2.0,19.0,50.0,29.0,,,,,,,,,,89.72,83.05
MC 13,35.0,5.0,42.0,,18.0,,,,,,,,,74.9,70.95
MC 14,11.0,,72.0,,17.0,,,,,,,,,92.93,90.12
MC 15,30.64475118694827,4.404988979455084,41.303379762452096,,23.64688007114455,,,,,,,,,79.93,76.24
MC 16,11.02241976725102,,71.64489476336155,,17.33268546938742,,,,,,,,,92.95,90.1
MC 17,14.0,6.0,50.0,,30.0,,,,,,,,,93.83,89.45
MC 18,14.986948422544623,3.6837295557843066,58.8941648956511,,22.435157126019963,,,,,,,,,90.88,88.4
MC 19,64.79964828491211,,32.82248497009277,,,2.377866744995117,,,,,,,,49.76,72.6
MC 20,63.0,,33.0,,,4.0,,,,,,,,49.62,82.98
MC 21,63.0,,33.25,,,3.75,,,,,,,,49.76,83.03
MC 22,63.5,1.0,31.5,,,4.0,,,,,,,,49.63,80.55
MC 23,51.0,2.0,41.0,,,6.0,,,,,,,,55.15,73.81
MC 24,56.64057922363281,1.8928146362304688,38.37709999084473,,,3.089506149291992,,,,,,,,53.51,76.86
MC 25,59.297420024871826,1.7356863021850586,35.92219924926758,,,3.044694423675537,,,,,,,,52.18,77.77
MC 26,48.095947265625,5.5673828125,32.1669921875,,,14.169677734375,,,,,,,,56.56,66.0
FACE A+10,,,,,,,91.0,9.0,,,,,,92.5,88.22
FACE A+25,,,,,,,77.0,23.0,,,,,,98.79,92.8
FACE A+40,,,,,,,82.0,18.0,,,,,,96.27,91.83
FACE A+60,,,,,,,41.0,59.0,,,,,,105.83,92.41
FACE C+10,,,,,,,,9.0,91.0,,,,,93.66,89.18
FACE C+25,,,,,,,,12.0,88.0,,,,,94.5,90.89
FACE C+40,,,,,,,,36.0,64.0,,,,,99.65,93.12
FACE C+60,,,,,,,,65.0,35.0,,,,,106.88,93.03
FACE F+10,,,,,,,,13.0,,87.0,,,,98.82,87.82
FACE F+25,,,,,,,,29.0,,71.0,,,,102.37,89.29
FACE F+40,,,,,,,,29.0,,71.0,,,,102.37,89.29
FACE F+60,,,,,,,,40.0,,60.0,,,,104.99,89.51
FACE G+10,,,,,,,,16.0,,,84.0,,,99.32,85.63
FACE G+25,,,,,,,,29.0,,,71.0,,,102.07,87.44
FACE G+40,,,,,,,,29.0,,,71.0,,,102.07,87.44
FACE G+60,,,,,,,,39.0,,,61.0,,,103.86,88.29
FACE I+10,,,,,,,,9.0,,,,91.0,,80.5,77.38
FACE I+25,,,,,,,,25.0,,,,75.0,,91.19,85.09
FACE I+40,,,,,,,,37.0,,,,63.0,,96.32,88.09
FACE I+60,,,,,,,,45.5,,,,54.5,,99.69,89.71
FACE J+10,,,,,,,,10.0,,,,,90.0,79.4,74.93
FACE J+25,,,,,,,,24.0,,,,,76.0,90.26,81.49
FACE J+40,,,,,,,,37.0,,,,,63.0,96.78,85.32
FACE J+60,,,,,,,,49.031554808840156,,,,,50.968445191159844,100.82,88.2
